#2013-09-05T10:02:40NZST
#System Version : squirrel_sql-3.1.2
#Source Packages: net.sourceforge.squirrel_sql.
#Ignore Packages: 
#Distributed    : src
#Source Roots   : src
#1. Fully-qualified type name
#2. location in bin
#3. location in src
#4. 0=in src pkg (user-defined), 1=not in src pkg. See 'Source Packages' above
#5. 0=both bin and src, 1=bin only, 2=src only
#6. 0=distributed, 1 = not distributed. Source code in 'Distributed' above
#7. 0=top-level public, 4=top-level non-public, 1=top-level different name, 2=nested, 3=probably haven't seen source, -1 no source, or not parsed
#8. LOC - physical lines in file (for public type only)
#9. NCLOC - non-commented lines of code in file (for public type only)
#
net.sourceforge.napkinlaf.NapkinDesktopPaneUI	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinEditorPaneUI	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinFileChooserUI	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinFileChooserUI$1	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinFileChooserUI$NapkinFileView	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinFormattedTextFieldUI	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinInternalFrameTitlePane	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinInternalFrameTitlePane$NapkinTitlePaneLayout	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinInternalFrameUI	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinKnownTheme	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinLabelUI	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinListUI	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	-1	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel$1	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel$10	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel$11	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel$12	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel$13	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel$2	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
net.sourceforge.napkinlaf.NapkinLookAndFeel$3	squirrel-sql-3.1.2/plugins/laf/lafs/napkinlaf.jar		1	1	1	2	0	0
